nodes, edges, tw_before, tw_after
23, 26, 3, 3
23, 26, 3, 3
23, 26, 4, 4
23, 26, 3, 3
23, 26, 3, 3
23, 26, 3, 3
23, 25, 3, 3
23, 25, 3, 2
23, 25, 3, 3
23, 25, 2, 2
23, 25, 3, 3
23, 25, 3, 3
23, 32, 4, 4
23, 32, 4, 4
23, 32, 3, 3
23, 34, 5, 5
23, 34, 4, 4
23, 34, 4, 4
23, 25, 3, 3
23, 25, 3, 3
23, 25, 3, 3
23, 27, 3, 3
23, 27, 3, 3
23, 27, 3, 3
23, 32, 4, 4
23, 32, 4, 4
23, 32, 4, 4
23, 35, 4, 4
23, 35, 4, 4
23, 35, 4, 4
23, 26, 3, 3
23, 26, 3, 3
23, 26, 2, 2
23, 36, 4, 4
23, 36, 5, 5
23, 36, 5, 5
23, 35, 5, 5
23, 35, 4, 4
23, 35, 4, 3
23, 30, 3, 3
23, 30, 4, 3
23, 30, 3, 3
23, 28, 2, 2
23, 28, 3, 3
23, 28, 3, 3
