nodes, edges, tw_before, tw_after
20, 28, 3, 3
20, 28, 3, 3
20, 28, 4, 4
20, 29, 4, 4
20, 29, 4, 4
20, 29, 3, 3
20, 22, 3, 3
20, 22, 3, 3
20, 22, 2, 2
20, 24, 3, 3
20, 24, 2, 3
20, 24, 3, 2
20, 60, 8, 8
20, 60, 8, 8
20, 60, 8, 8
20, 70, 9, 9
20, 70, 9, 9
20, 70, 9, 9
20, 21, 3, 3
20, 21, 2, 2
20, 21, 3, 3
20, 32, 4, 4
20, 32, 4, 4
20, 32, 4, 4
20, 62, 9, 9
20, 62, 7, 7
20, 62, 9, 9
20, 75, 10, 9
20, 75, 10, 10
20, 75, 10, 10
20, 28, 4, 3
20, 28, 4, 4
20, 28, 4, 4
20, 83, 10, 10
20, 83, 9, 9
20, 83, 11, 11
20, 75, 10, 10
20, 75, 10, 10
20, 75, 9, 9
20, 48, 7, 7
20, 48, 7, 7
20, 48, 7, 7
20, 38, 5, 5
20, 38, 5, 5
20, 38, 5, 5
20, 79, 10, 10
20, 79, 10, 10
20, 79, 10, 10
20, 21, 2, 2
20, 21, 2, 2
20, 21, 3, 3
20, 32, 5, 5
20, 32, 4, 4
20, 32, 5, 5
20, 49, 7, 7
20, 49, 7, 7
20, 49, 7, 7
20, 56, 8, 8
20, 56, 8, 7
20, 56, 8, 8
20, 48, 7, 7
20, 48, 7, 7
20, 48, 6, 6
20, 21, 2, 2
20, 21, 3, 3
20, 21, 3, 3
20, 82, 10, 10
20, 82, 10, 10
20, 82, 10, 10
20, 27, 3, 2
20, 27, 3, 3
20, 27, 4, 4
20, 82, 10, 10
20, 82, 11, 11
20, 82, 11, 11
20, 75, 10, 10
20, 75, 9, 9
20, 75, 10, 10
20, 46, 7, 7
20, 46, 7, 7
20, 46, 7, 7
20, 79, 10, 10
20, 79, 9, 8
20, 79, 10, 9
20, 82, 11, 11
20, 82, 10, 10
20, 82, 11, 10
20, 81, 10, 10
20, 81, 11, 11
20, 81, 9, 9
20, 47, 6, 6
20, 47, 6, 6
20, 47, 7, 6
20, 69, 9, 9
20, 69, 10, 10
20, 69, 9, 9
20, 56, 8, 8
20, 56, 7, 7
20, 56, 8, 8
20, 23, 4, 4
20, 23, 3, 3
20, 23, 3, 3
