nodes, edges, tw
35, 65, 8
35, 65, 8
35, 65, 7
35, 65, 8
35, 298, 23
35, 298, 24
35, 298, 24
35, 298, 23
35, 372, 26
35, 372, 26
35, 372, 27
35, 372, 26
35, 269, 23
35, 269, 22
35, 269, 23
35, 269, 23
35, 277, 23
35, 277, 23
35, 277, 23
35, 277, 23
35, 99, 11
35, 99, 12
35, 99, 13
35, 99, 11
35, 243, 21
35, 243, 22
35, 243, 20
35, 243, 21
35, 144, 16
35, 144, 15
35, 144, 16
35, 144, 16
35, 209, 19
35, 209, 21
35, 209, 19
35, 209, 20
35, 390, 27
35, 390, 27
35, 390, 27
35, 390, 27
35, 196, 19
35, 196, 19
35, 196, 19
35, 196, 20
35, 372, 26
35, 372, 26
35, 372, 26
35, 372, 26
35, 63, 7
35, 63, 8
35, 63, 7
35, 63, 7
35, 78, 9
35, 78, 9
35, 78, 9
35, 78, 9
35, 155, 17
35, 155, 17
35, 155, 17
35, 155, 17
35, 190, 19
35, 190, 18
35, 190, 18
35, 190, 19
35, 99, 12
35, 99, 10
35, 99, 12
35, 99, 11
35, 377, 27
35, 377, 27
35, 377, 27
35, 377, 25
35, 333, 25
35, 333, 25
35, 333, 25
35, 333, 25
35, 546, 31
35, 546, 31
35, 546, 31
35, 546, 30
35, 254, 23
35, 254, 22
35, 254, 21
35, 254, 22
35, 214, 20
35, 214, 20
35, 214, 21
35, 214, 20
35, 420, 27
35, 420, 26
35, 420, 28
35, 420, 28
35, 281, 23
35, 281, 23
35, 281, 23
35, 281, 23
35, 161, 17
35, 161, 16
35, 161, 17
35, 161, 18
35, 400, 26
35, 400, 26
35, 400, 27
35, 400, 27
35, 77, 10
35, 77, 8
35, 77, 9
35, 77, 8
35, 531, 30
35, 531, 30
35, 531, 30
35, 531, 31
35, 200, 20
35, 200, 19
35, 200, 19
35, 200, 18
35, 407, 27
35, 407, 27
35, 407, 27
35, 407, 27
35, 435, 28
35, 435, 27
35, 435, 28
35, 435, 28
35, 503, 29
35, 503, 30
35, 503, 30
35, 503, 30
35, 552, 31
35, 552, 31
35, 552, 31
35, 552, 31
