nodes before, nodes after, tw_before, tw_after
6, 7, 2, 2
6, 6, 1, 1
6, 6, 2, 2
7, 7, 2, 2
7, 7, 2, 2
7, 7, 3, 3
4, 4, 1, 1
4, 4, 1, 1
4, 4, 1, 1
5, 5, 2, 2
5, 5, 2, 2
5, 6, 2, 2
21, 27, 10, 6
21, 26, 10, 7
21, 26, 10, 6
25, 31, 13, 8
25, 31, 13, 9
25, 31, 13, 8
7, 8, 2, 2
7, 7, 2, 2
4, 4, 1, 1
5, 5, 2, 2
22, 27, 11, 7
27, 33, 14, 10
4, 4, 1, 1
9, 9, 3, 3
23, 28, 12, 8
29, 36, 16, 11
7, 7, 3, 3
33, 41, 20, 13
29, 36, 17, 10
16, 18, 7, 5
12, 14, 4, 3
31, 39, 18, 11
18, 23, 9, 5
4, 4, 2, 2
13, 15, 5, 4
13, 16, 4, 3
29, 35, 16, 11
7, 7, 3, 3
